# Phase 0 source digests approved for runtime synchronization.
# Format: sha256:<64 lowercase hex characters>  <reviewed description>
# Changes to this file require normal code review; do not add local approvals.
sha256:1f7cf3d006ac7a81f01967c4ece96176d5e92ee0c9ccd914ff7ab5615c79ff9d  Approve 6e9d662: observer minimization + digest authority + policy alignment
sha256:f6ced0a17b2f30cdfc784bf2dca7c9b57184f018493dbdcdde03915b3a44176d  Approve loaded-state readback: observer receipt + three-stage sync gate
sha256:a635daae2dd644ed2e25e20b23e6f20fc1b9529d3cb42d386ff99c504b8efcd8  Approve 26cabff: canonicalize scoped harness governance (independently blind-reviewed)
sha256:9609668e529e863bb92f8f950fe996535796a4073b04e294753a944af6b1abc5  Approve bf6a68d: harness guard self-declare guidance fix (blind-reviewed)
sha256:e63cdf2d0585656c4e37af6e082f537eb416494b3d10b503fbe3b29c78caa95e  Approve 24ffbad: tracked-only reproducible source attestation (blind-reviewed)
sha256:4f174cbd7d3db9c6b78654cffb152ccbb57eda81e83bf25572e77a61c20778a5  Approve 3ba6d7d: protected runtime skill document read exception
sha256:fe0cebf41a9daa66369922fcc604869a096bd2515fc676684166dbfd64a8fa2c  Approve 563bc2e (52912ce deny-only guard): live runtime promotion authorized 2026-08-18
sha256:3d878f19c7e9e2322235669b60cf20c71f7175bb2f2bf75c9f1b272007d6900b  Approve top-level-command apply_patch deny fix: live promotion authorized 2026-08-18
sha256:d7e11f0b274591a43330ee6c643c150939503fa98b788e5d808eec2294fa513e  Approve mirrored-source apply_patch deny fix: live promotion authorized 2026-08-18
sha256:5fabb358142fb70aab400cd43ab9a271f1d182e5a694bab68d02f9cf15c75f00  Approve 03775f0: P0-2 config, hooks, telemetry, and custom-agent templates
sha256:c583ced0861bbf3be67a22bfbb056ae7e317f92e53206c23dda2da13537d9c74  Approve 08f9cfb: P0-3 context policy, brief, docs, fixtures, and runtime promotion
sha256:89cc4741b8e8e717d23cd28131d138df8dd7ffc2125350c2bfd006d0602f34ee  MCE-20260826 adaptive persistent subagent team Tasks 1-5
sha256:7b709dbd93d8067304827b0d24aab93af4654c36ad8cc29d731f104832fcdb94  Repair 9c76cf0 adaptive subagent managed-source identity
sha256:1dbeec8b26b24cfc869d7de4556177cddf8db7ae4052f94d3ac2e14a68bdfba2  Record global AGENTS design-simplicity rules
sha256:fbd01c7243ab58cbefbea4413ba9c597c67a90ec9f8de0c5e04af19a4f15147b  Approve MCE subagent role routing contract
sha256:d084387b633b05ce9d50c212d6672fa45f6a967baadcc91b620426f0a3103abc  Sepia writing-routing WP1 source
sha256:2f693b0429150c130a41d74a2def4541113d4697655921d895abe6f378154fc0  Sepia writing-routing WP1 source
sha256:34bcb159aa76f5da2f514599259f14a70dc3bdf6b8ecc417edae08cf3bd3240a  Sepia closed fact set local patch
sha256:089da846774a07a627d5a06d98c3b528f6680e2311e4d34294f7a825a3d6d022  Sepia transparent arithmetic boundary
sha256:e968d81c218c8412270f01d810727c17206cd8b5930bac5ac81d42ccd43f2c63  Approve acceptance scenario skill source
sha256:4073f916a4ca8b79a32bdd71ca0f0128f1a79ab45a5c5ba173d0af4d940c2827  Reviewed GPT-6 Astra primary default and scoped instruction migration
